A	
252101	Administrator baz danych
411001	Administrator nieruchomości
242101	Administrator produkcji filmowej
252301	Administrator sieci informatycznej
351401	Administrator stron internetowych
351402	Administrator systemów poczty elektronicznej
252201	Administrator zintegrowanych systemów zarządzania klasy CRP
252202	Administrator zintegrowanych systemów zarządzania klasy ERP
252203	Administrator zintegrowanych systemów zarządzania klasy MRP
261101	Adwokat
333101	Agent celny
333401	Agent do spraw pozyskiwania gruntów pod nieruchomości
332301	Agent do spraw zakupów
333102	Agent klarujący
332101	Agent ubezpieczeniowy
333901	Agent usług artystycznych
334301	Akredytowany asystent parlamentarny
343501	Akrobata
265501	Aktor
343502	Aktor cyrkowy
265502	Aktor lalkarz
343601	Aktor scen muzycznych
212001	Aktuariusz
323001	Akupunkturzysta
524301	Akwizytor
332102	Akwizytor funduszy emerytalnych
713301	Alpinista przemysłowy
252102	Analityk baz danych
241301	Analityk giełdowy
262201	Analityk informacji i raportów medialnych
241302	Analityk kredytowy
242301	Analityk pracy
262202	Analityk ruchu na stronach internetowych
251101	Analityk systemów teleinformatycznych
243101	Analityk trendów rynkowych (cool hunter)
235101	Andragog
242201	Animator gospodarczy do spraw przedsiębiorczości
242202	Animator gospodarczy do spraw rozwoju regionalnego
242203	Animator gospodarczy do spraw rozwoju technologicznego
343901	Animator kultury
422701	Ankieter
213101	Antropolog
522101	Antykwariusz
813101	Aparatowy procesów chemicznych
816001	Aparatowy produkcji drożdży
816002	Aparatowy produkcji octu
814101	Aparatowy produkcji wyrobów maczanych
313201	Aparatowy utylizacji odpadów toksycznych
263201	Archeolog
216101	Architekt
216201	Architekt krajobrazu
251301	Architekt stron internetowych
216102	Architekt wnętrz
216202	Architekt zieleni wewnątrz budynków
262101	Archiwista
441401	Archiwista dokumentów elektronicznych
441402	Archiwista zakładowy
731801	Arkadownik
265101	Artysta fotografik
265102	Artysta grafik
265103	Artysta malarz
265201	Artysta muzyk instrumentalista
265202	Artysta muzyk wokalista
265104	Artysta rzeźbiarz
211101	Astrofizyk
516101	Astrolog
211102	Astronom
431101	Asystent do spraw księgowości
331401	Asystent do spraw statystyki
441901	Asystent do spraw wydawniczych
334302	Asystent dyrektora
531101	Asystent edukacji romskiej
343902	Asystent kierownika produkcji filmowej / telewizyjnej
531201	Asystent nauczyciela dziecka cudzoziemca
531202	Asystent nauczyciela przedszkola
352101	Asystent operatora dźwięku
352102	Asystent operatora obrazu
 
341201	Asystent osoby niepełnosprawnej
334303	Asystent parlamentarny
261901	Asystent prawny
261902	Asystent prokuratora
265401	Asystent reżysera filmowego
261903	Asystent sędziego
352103	Asystent techniczny realizatora dźwięku
352104	Asystent techniczny realizatora programu
421101	Asystent usług pocztowych
421102	Asystent usług telekomunikacyjnych
334304	Asystent zarządu
532101	Asystentka pielęgniarska
325101	Asystentka stomatologiczna
228501	Audiofonolog
242204	Audytor
213301	Audytor ekologiczny
214901	Audytor energetyczny
742101	Automatyk sterowania ruchem kolejowym
243102	Autor tekstów i sloganów reklamowych (copywriter)
B	
613001	Baca
962101	Bagażowy
753701	Bandażysta ortopedyczny
513201	Barista
513202	Barman
752201	Bednarz
711401	Betoniarz
711402	Betoniarz - zbrojarz
343301	Bibliotekarz
262203	Bibliotekoznawca
241101	Biegły rewident
753101	Bieliźniarz
753401	Bieliźniarz – kołdrzarz
962901	Bileter
213102	Biochemik
323002	Bioenergoterapeuta
213103	Biofizyk
213104	Bioinżynier
213105	Biolog
323003	Biomasażysta
