Mas³awa, Mieczys³awa, Mieszka
Bazylego, Makarego, Narcyzy
Arlety, Danuty, Lucjana
Anieli, El¿biety, Tytusa
Edwarda, Hanny, Szymona
Kacpra, Melchiora, Baltazara
Juliana, Lucjana, Walentyny
Artura, Rajmunda, Seweryny
Adriana, Alicji, Teresy
Ady, Jana, Wilhelma
Feliksa, Honoraty, Marty
Bernarda, Czes³awy, Grety
Bogumi³a, Bogumi³y, Weroniki
Feliksa, Hilarego, Martyny
Arnolda, Dory, Paw³a
Mascelego, Walerii, W³odzimierza
Antoniego, Henryki, Mariana
Beatrycze, Ma³gorzaty, Piotra
Erwiny, Henryka, Mariusza
Fabioli, Mi³y, Sebastiana
Agnieszki, Jaros³awa, Nory
Dominiki, Mateusza, Wincentego
Fernandy, Jana, Rajmundy
Felicji, Roberta, S³awy
Mi³osza, Paw³a, Tatiany
Lutos³awa, Normy, Pauliny
Anieli, Juliana, Przemys³awa
Agnieszki, Kariny, Les³awa
Franciszka, Konstancji, Salomei
Martyny, Macieja, Teofila
Joanny, Ksawerego, Luizy
