Albina, Antoniny, Rados³awy
Halszki, Heleny, Karola
Kingi, Maryna, Tycjana
Adrianny, Kazimierza, Wac³awa
Aurory, Fryderyka, Oliwii
Jordana, Marcina, Ró¿y
Flicyty, Kajetana, Pauli
Beaty, Juliana, Wincentego
Dominika, Franciszki, Katarzyny
Bo¿ys³awy, Cypriana, Marcelego
Konstantego, Ludos³awa, Rozyny
Grzegorza, Justyny, Józefiny
Bo¿eny, Krystyny, Marka
Dalii, Leona, Matyldy
Delfiny, Longina, Ludwiki
Izabeli, Henryka, Oktawii
Reginy, Patryka, Zdyszka
Edwarda, Narcyza, Zbys³awa
Aleksandryny, Józefa, Nicety
Joachima, Kiry, Maurycego
Benedykta, Lubomiry, Lubomira
Bogus³awa, Jagody, Katarzyny
Feliksa, Konrada, Zbys³awy
Gabrieli, Marka, Seweryna
Bolka, Cezaryny, Marioli
Dory, Olgi, Teodora
Ernesta, Jana, Marka
Anieli, Kasrota, Soni
Marka, Wiktoryny, Zenona
Amelii, Dobromira, Leonarda
Balbiny, Kamila, Kornelii
