Bogusza, Haliny, Mariana
Kariny, Serafiny, Urbana
Anatola, Jacka, Miros³awy
Aureli, Malwiny, Zygfryda
Antoniego, Bart³omieja, Karoliny
Dominiki, Jarope³ka, £ucji
Estery, Kiry, Rudolfa
Arnolda, Edgara, El¿biety
Hieronima, Palomy, Weroniki
Filipa, Sylwany, Witalisa
Benedykta, Kariny, Olgi
Brunona, Jana, Wery
Danieli, Irwina, Ma³gorzaty
Kamili, Kamila, Marcelego
Henryka, Igi, W³odzimierza
Eustachego, Mariki, Mirelli
Aleksego, Bogdana, Martyny
Kamila, Karoliny, Roberta
Alfreny, Rufina, Wincentego
Fryderyka, Ma³gorzaty, Seweryny
Danieli, Wawrzyñca, Wiktora
Magdaleny, Mileny, Wawrzyñca
S³awy, S³awosza, ¯elis³awy
Kingi, Krystyna, Michaliny
jakuba, Krzysztofa, Walentyny
Anny, Miros³awy, Joachima
Aureliusza, Natalii, Rudolfa
Ady, Wiwiany, Sylwiusza
Marty, Konstantego, Olafa
Julity, Ludmi³y, Zdobys³awa
Ignacego, Lodomiry, Romana
