Jaros³awa, Justyny, Nadziei
Gustawa, Kariny, Stefana
Augustyna, Kamelii, Lidii
Dominiki, Dominika, Protazego
Emila, Karoliny, Kary
Jakuba, S³awy, Wincentego
Donaty, Olechny, Kajetana
Izy, Rajmunda, Seweryna
Klary, Romana, Rozyny
Bianki, Borysa, Wawrzyñca
Luizy, W³odzmierza, Zuzanny
Hilarii, Juliana, Lecha
Elwiry, Hipolita, Rados³awy
Alfreda, Maksymiliana, Selmy
Marii, napoleona, Stelii
Joachima, Nory, Stefana
Anity, Elizy, Mirona
Bogus³awa, Bronis³awa, Ilony
Emilii, Julinana, Konstancji
Bernarda, Sabiny, Samuela
Franciszka, Kazimiery, Ruty
Cezarego, Marii, Zygfryda
Apolinarego, Mi³y, Ró¿y
Bartosza, Jerzego, Maliny
Belii, Ludwika, Luizy
Ireneusza, Konstantego, Marii
Cezarego, Ma³gorzaty, Moniki
Adeliny, Erazma, Sobies³awa
Beaty, Racibora, Sabiny
Benona, Jowity, Szczêsnego
Cyrusa, Izabeli, Rajmundy
