Chryzamtyny, Gra¿yny, Zygmunta
Franciszka, Malwiny, W³adys³awa
Pankracego, Renaty, Ryszarda
Benedykta, Izodory, Wac³awy
Ireny, Kleofasa, Wincentego
Ady, Celestyny, Ireneusza
Donata, Herminy, Rufina
Amadeusza, Cezaryny, Juliany
Mai, Marcelego, Wadima
Borys³awy, makarego, Micha³a
Filipa, Izoldy, Leona
Juliusza, Lubos³awa, Wiktoryny
Artemona, Justyny, Przemys³awy
Bernarda, Martyny, Waleriana
Adolfiny, Odetty, Wac³awa
Bernarda, Biruty, Erwina
Anicety, Klary, Rudolfina
Apoloniusza, Bogus³awy, Goœcis³awy
Alfa, Leonii, Tytusa
Agnieszki, Amalii, Czecha
Jaros³awa, Konrada, Selmy
£ukasza, Kai, Nastazji
Ilony, Jerzego, Wojciecha
Bony, Horacji, Jerzego
Jaros³awa, Marka, Wiki
Marii, Marzeny, Ryszarda
Sergiusza, Teofila, Zyty
Bogny, Walerii, Witalisa
Hugona, Piotra, Roberty
Balladyny, Lilli, Mariana
