Józefa, Lubomira, Ramony
Longiny, Toli, Zygmunta
Jarope³ka, Marii, Niny
Floriana, Micha³a, Moniki
Irydy, Tamary, Waldemara
Beniny, Filipa, Judyty
Augusta, Gizeli, Ludomiry
Kornela, Lizy, Stanis³awa
Grzegorza, Karoliny, Karola
Antoniny, Izydory, Jana
Igi, Mamerta, Miry
Dominika, Imeldy, Pankracego
Agnieszki, Magdaleny, Serwacego
Bonifacego, Julity, Macieja
Dionizego, Nadziei, Zofii
Andrzeja, Jêdrzeja, Ma³gorzaty
Brunony, S³awomira, Wery
Alicji, Edwina, Eryka
Celestyny, Iwony, Piotra
Bazylego, Bernardyna, Krystyny
Jana, Moniki, Wiktora
Emila, Neleny, Romy
Leoncjusza, Micha³a, Renaty
Joanny, Zdenka, Zuzanny
Borysa, Magdy, Marii-Magdaleny
Eweliny, Jana, Paw³a
Amandy, Jana, Juliana
Augustyna, Ingi, Jaromira
Benity, Maksymiliana, Teodozji
Ferdynanda, Gryzeldy, Zyndrama
Anieli, Feliksa, Kamili
