Gracji, Jakuba, Konrada
Erazma, Marianny, Marzeny
Anatola, Leszka, Tamary
Christy, Helgi, Karola
Bonifacego, Kiry, Waltera
Laury, Laurentego, Nory
Ariadny, Jaros³awa, Roberta
Ady, Celii, Medarda
Anny-Marii, Felicjana, S³awoja
Bogumi³a, Diany, Ma³gorzaty
Barnaby, Benedykta, Flory
Gwidona, Leonii, Niny
Antoniego, Gracji, Lucjana
Bazylego, Elizy, Justyny
Jolanty, Lotara, Wita
Aliny, Anety, Benona
Laury, Leszka, Marcjana
El¿biety, Marka, Pauli
Gerwazego, Protazego, Sylwii
Bogny, Rafaeli, Rafa³a
Alicji, Alojzego, Rudolfa
Pauliny, Sabiny, Tomasza
Albina, Wandy, Zenona
Danuty, Jana, Janiny
£ucji, Witolda, Wilhelma
Jana, Pauliny, Rudolfiny
Cypriana, Emanueli, W³adys³awa
Florentyny, Ligii, Leona
Paw³a, Piotra, Salomei
Arnolda, Emiliany, Lucyny
