Belindy, Bronisza, Idziego
Dionizy, Izy, Juliana
Joachima, Liliany, Szymona
Dalii, Idy, Rocha
Doroty, Justyna, Wawrzyñca
Beaty, Eugeniusza, Lidy
Reginy, Marka, Melchiora
Czcibora, Marii, Serafiny
Aldony, Jakuba, Sergiusza
Eligii, Irmy, £ukasza
Dagny, Jacka, Prota
Amadeusza, Gwidy, Sylwiny
Apolinarego, Eugenii, Lubomira
Bernarda, Mony, Roksany
Albina, Lolity, Ronalda
Jagienki, Kamili, Korneliusza
Franciszka, Lamberty, Narcyza
Ireny, Irminy, Stanis³awa
Januarego, Konstancji, Leopolda
Eustachego, Faustyny, Renaty
Darii, Mateusza, Wawrzyñca
Maury, Milany, Tomasza
Bogus³awa, Liwiusza, Tekli
Dory, Gerarda, Maryny
Aureli, Kamila, Kleofasa
Cypriana, Justyny, £ucji
Damiana, Mirabeli, Wincentego
Libuszy, Wac³awy, Wac³awa
Michaliny, Micha³a, Rafa³a
Geraldy, Honoriusza, Wery
