Blanki, Edmunda, Eligiusza
Balbiny, Ksawerego, Pauliny
Hilarego, Franciszki, Ksawery
Barbary, Hieronima, Krystiana
Kryspiny, Norberta, Sabiny
Dionizji, Leontyny, Miko³aja
Agaty, Dalii, Sobies³awa
Delfiny, Marii, Wirginiusza
Anety, Leokadii, Wies³awa
Danieli, Bohdana, Julii
Biny, Damazego, Waldemara
Ady, Aleksandra, Dagmary
Dalidy, Juliusza, £ucji
Alfreda, Izydora, Zoriny
Celiny, Ireneusza, Niny
Albiny, Sebastiana, Zdzis³awy
Jolanty, £ukasza, Olimpii
Bogus³awa, Gracjana, Laury
Beniaminy, Dariusza, Gabrieli
Bogumi³y, Dominika, Zefiryna
Honoraty, Seweryny, Tomasza
Bo¿eny, Drogomira, Zenona
Dagny, S³awomiry, Wiktora
Adama, Ewy, Irminy
Anety, Glorii, Piotra
Dionizego, Kaliksta, Szczepana
Fabioli, Jana, ¯anety
Antoniusza, Cezarego, Teofilii
Dawida, Dionizy, Tomasza
Eugeniusza, Katarzyny, Sabiny
Mariusza, Melanii, Sylwestra
