Brygidy, Dobrogniewa, Ignacego
Kornela, Marii, Miros³awy
B³a¿eja, Joanny, Telimeny
Andrzeja, Mariusza, Weroniki
Agaty, Filipa, Justyniana
Amandy, Bogdana, Doroty
Ryszarda, Teodora, Wilhelminy
Irminy, Piotra, Sylwii
Bernarda, Eryki, Rajmunda
Elwiry, Elizy, Jacka
Bernadetty, Marii, Olgierda
Czas³awa, Damiana, Normy
Grzegorza, Les³awa, Katarzyny
Liliany, Walentyny, Walentego
Arnolda, Jowity, Georginy
Danuty, Daniela, Juliany
Donata, Gizeli, £ukasza
Konstancji, Krystiana, Sylwany
Bettiny, Konrada, Miros³awa
Anety, Lehca, Leona
Eleonory, Lenki, Kiejstuta
Ma³gorzaty, Marty, Nikifora
Damiana, Romana, Romany
Boguty, Bogusza, Macieja
Almy, Cezarego, Jaros³awa
Bogumi³a, Eweliny, Miros³awa
Gagrieli, Liwii, Leonarda
Ludomira, Makarego, Wiliany
Lecha, Lutomira
