Heloizy, Igora, Remigiusza
Racheli, S³awy, Teofila
Bogumi³a, Gerarda, Józefy
Edwina, Ros³awy, Rozalii
Flawii, Justyna, Rajmunda
Artura, Fryderyki, Petry
Krystyna, Marii, Marka
Brygidy, Loreny, Marcina
Arnolda, Ludwika, Sybili
Franciszka, Loretty, Poli
Aldony, Brunona, Emila
Krystyny, Maksa, Serafiny
Edwarda, Geraldyny, Teofila
Alany, Damiana, Liwii
Jadwigi, Leonarda, Teresy
Ambro¿ego, Florentyny, Gaw³a
Antonii, Ignacego, Wiktora
Hanny, Klementyny, £ukasza
Michaliny, Micha³a, Piotra
Ireny, Kleopatry, Witalisa
Celiny, Hilarego, Janusza
Haliszki, Lody, Przybys³¹wa
Edwarda, Marleny, Seweryna
Arety, Marty, Marcina
Ingi, Maurycego, Sambora
Ewarysta, Lucyny, Lutos³awy
Iwony, Noemi, Szymona
Narcyza, Serafina, Wioletty
Angeli, Przemys³awa, Zenobii
Augustyny, £ukasza, Urbana
